is_no,title,status,technical_committee,amendments,reaffirmed_year,price_in_india,price_outside_india,description,preview_url,preview_id
IS 10500 : 2012,Drinking Water - Specification (Second Revision),Active,FAD 25 (Drinking Water),3,2023,₹ 790.00,"₹ 7,900.00","ICS 13.060.20 FAD 25. NATIONAL FOREWORD: This Indian Standard (Second Revision) was adopted by the Bureau of Indian Standards after the draft finalized by the Drinking Water Sectional Committee had been approved by the Food and Agriculture Division Council. This standard prescribes the requirements and methods of sampling and test for drinking water (potable water) supplied through piped network, tankers, packaged drinking water, or ground sources. Key test parameters include physical, organoleptic, chemical, toxic substances, and bacteriological requirements (E. coli, coliforms). Mandatory under Scheme I for packaged drinking water (IS 14543) and packaged natural mineral water (IS 13428).",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=10500,10500
IS 14543 : 2016,Packaged Drinking Water (Other Than Packaged Natural Mineral Water) - Specification (Second Revision),Active,FAD 25 (Drinking Water),4,2021,₹ 620.00,"₹ 6,200.00","FAD 25. National Foreword: Prescribes the quality requirements and methods of sampling and testing for packaged drinking water other than packaged natural mineral water. Mandatory under BIS Scheme I (ISI Mark) and Food Safety and Standards Authority of India (FSSAI) regulations. Manufacturers must hold a valid BIS license before commercial production and sale. Requires testing for physical characteristics, pesticide residues, microbiological contaminants, and packaging containers conforming to food-grade plastics.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=14543,14543
IS 1417 : 2016,"Gold and Gold Alloys, Jewellery/Artefacts - Fineness and Marking - Specification (Fourth Revision)",Active,MTD 10 (Precious Metals),2,2021,₹ 430.00,"₹ 4,300.00","ICS 39.060 MTD 10. National Foreword: Specifies requirements for gold alloys and fine gold jewellery/artefacts regarding fineness in parts per thousand (ppt) and their hallmarking. Recognized grades: 24K (995), 23K (958), 22K (916), 20K (833), 18K (750), and 14K (585). Hallmarking consists of three marks: BIS Logo, Purity/Fineness in carat & ppt (e.g., 22K916), and 6-digit alphanumeric Hallmark Unique Identification (HUID) code. Mandatory Hallmarking applies across notified districts in India under the BIS Hallmarking Scheme.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=1417,1417
IS 2112 : 2014,"Silver and Silver Alloys, Jewellery/Artefacts - Fineness and Marking - Specification",Active,MTD 10 (Precious Metals),1,2020,₹ 340.00,"₹ 3,400.00","ICS 39.060 MTD 10. Prescribes the purity grades and hallmarking guidelines for silver jewellery and artefacts. Common grades include 990, 925 (Sterling Silver), 900, 835, and 800 parts per thousand. Governed under the BIS Hallmarking Scheme for Assaying and Hallmarking Centres (AHC).",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=2112,2112
IS 694 : 2010,Polyvinyl Chloride Insulated Unsheathed and Sheathed Cables/Cords with Rigid and Flexible Conductor for Working Voltages Up to and Including 450/750 V,Active,ETD 09 (Power Cables),2,2020,₹ 880.00,"₹ 8,800.00","ICS 29.060.20 ETD 09. Specifies the constructional and testing requirements for PVC insulated single-core and multi-core cables and flexible cords for household wiring and industrial distribution up to 1100 V. Mandatory ISI Mark under the Electrical Wires and Cables (Quality Control) Order. Mandatory testing includes insulation resistance, spark test, conductor resistance, tensile strength, and flame retardancy tests.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=694,694
IS 16102 : Part 1 : 2012,Self-Ballasted LED Lamps for General Lighting Services - Part 1 Safety Requirements,Active,ETD 23 (Electric Lamps and their Auxiliaries),3,2022,₹ 520.00,"₹ 5,200.00","ICS 29.140.99 ETD 23. Specifies safety and interchangeability requirements for self-ballasted LED lamps with integrated means for controlling electrical operation, intended for domestic and similar general lighting purposes. Governed under BIS Scheme II - Compulsory Registration Scheme (CRS) administered by MeitY and BIS. Manufacturers must test products in BIS-recognized labs and register online via CRS portal.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=16102_1,16102_1
IS 16102 : Part 2 : 2012,Self-Ballasted LED Lamps for General Lighting Services - Part 2 Performance Requirements,Active,ETD 23 (Electric Lamps and their Auxiliaries),2,2022,₹ 480.00,"₹ 4,800.00","ICS 29.140.99 ETD 23. Specifies performance requirements, lumen maintenance, luminous efficacy, color rendering index (CRI), correlated color temperature (CCT), and life testing for LED lamps used in general lighting.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=16102_2,16102_2
IS 4151 : 2020,Protective Helmets for Two Wheeler Riders - Specification (Fourth Revision),Active,TXD 14 (Speciality Fabrics and Protective Clothing),1,2024,₹ 680.00,"₹ 6,800.00","ICS 13.340.20 TXD 14. Prescribes physical and safety requirements, construction, dimensions, performance, and testing for protective helmets for riders of two-wheeled motor vehicles. Mandatory ISI Mark under Ministry of Road Transport and Highways (MoRTH) QCO. Tests include impact attenuation, dynamic retention test, penetration resistance, rigidity, and visor optical properties. Helmets without valid ISI mark cannot be manufactured or sold in India.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=4151,4151
IS 9873 : Part 1 : 2019,Safety of Toys - Part 1 Safety Aspects Related to Mechanical and Physical Properties,Active,PCD 12 (Plastics and Toys),1,2024,₹ 920.00,"₹ 9,200.00","ICS 97.200.50 PCD 12. Specifies safety requirements and test methods for mechanical and physical properties of toys intended for use by children under 14 years. Mandatory under Toys (Quality Control) Order, 2020 under Scheme I (ISI Mark). Foreign and domestic manufacturers must obtain BIS certification prior to marketing toys in India. Enforces drop test, small parts choking hazards, sharp edges, and tension tests.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=9873_1,9873_1
IS 9873 : Part 3 : 2020,Safety of Toys - Part 3 Migration of Certain Elements (Toxic Metals Testing),Active,PCD 12 (Plastics and Toys),0,2024,₹ 550.00,"₹ 5,500.00","ICS 97.200.50 PCD 12. Prescribes maximum limits and methods of sampling and analysis for the migration of lead, mercury, cadmium, antimony, arsenic, barium, chromium, and selenium from accessible toy materials. Crucial compliance parameter for child health and toy manufacturing under BIS Scheme I.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=9873_3,9873_3
IS 1786 : 2008,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement - Specification (Fourth Revision),Active,MTD 04 (Wrought Steel Products),3,2023,₹ 740.00,"₹ 7,400.00","ICS 77.140.15 MTD 04. Specifies requirements for thermo-mechanically treated (TMT) and cold worked deformed steel bars and wires for concrete reinforcement in grades Fe 415, Fe 415D, Fe 500, Fe 500D, Fe 550, Fe 550D, Fe 600. Mandatory ISI Mark under Ministry of Steel Quality Control Order. Covers yield strength, elongation, bend and rebend tests, chemical composition, and rib geometry.",https://standardsbis.bsbedge.com/BIS_Preview.aspx?id=1786,1786
